CULTIVO,MAIZ
,
Etiquetas de fila,Promedio de Producción
SANTO TOMAS,178.375
SANTUARIO,218.1081081
SAPUYES,73.18181818
SARAVENA,1480.25
SARDINATA,157.7368421
SASAIMA,20.72727273
SATIVANORTE,23.63636364
SATIVASUR,10.83333333
SEGOVIA,24.66666667
SEVILLA,317.137931
SIACHOQUE,746.0769231
SIBATE,43.5
SIBUNDOY,345.75
SILOS,154.6
SILVANIA,198.4705882
SILVIA,244
SIMACOTA,83.54166667
SIMIJACA,895.4782609
SIMITI,1955.25
SINCE,665.7391304
SINCELEJO,852.3617021
SIPI,115.8181818
SITIONUEVO,323.826087
SOACHA,35.85714286
SOATA,104.9545455
SOCHA,111.8333333
SOCORRO,134.2083333
SOCOTA,132.1666667
SOGAMOSO,72.91666667
SOLANO,582.3478261
SOLEDAD,12.16666667
SOLITA,325.3181818
SOMONDOCO,163.3076923
SONSON,430.6666667
SOPETRAN,47.8
SOPLAVIENTO,134.625
SOPO,39.8
SORA,10.5
SORACA,87.66666667
SOTAQUIRA,278
SOTARA,91.95
SUAITA,236.047619
SUAN,126.375
SUAREZ,499.3731343
SUAZA,269.7708333
SUBACHOQUE,205.4347826
SUCRE,166.8
SUESCA,34
SUPATA,17.26086957
SUPIA,18
SURATA,12.70833333
SUSA,43.625
SUSACON,112.3913043
SUTAMARCHAN,26.5
SUTATENZA,191.9
TABIO,67.08333333
TADO,29.95833333
TALAIGUA NUEVO,349.6666667
TAMALAMEQUE,246.2631579
TAMARA,244.0645161
TAME,3433.416667
TAMESIS,53.10526316
TAMINANGO,213.6956522
TANGUA,139.6666667
TARAIRA,6.428571429
TARAPACA,2
TARAZA,276.9166667
TARQUI,241.3125
TARSO,14.47619048
TASCO,112.875
TAURAMENA,53.5625
TELLO,444.2916667
TENA,21.375
TENERIFE,260.3333333
TENJO,630.25
TENZA,137.6315789
TEORAMA,129.6666667
TERUEL,213.1458333
TESALIA,203.4583333
TIBACUY,27.44444444
TIBANA,267.0526316
TIBASOSA,125.5384615
TIBIRITA,52.33333333
TIBU,995.7083333
TIERRALTA,3368.12766
TIMANA,539.5
TIMBIO,436.2916667
TIMBIQUI,25.26666667
TINJACA,41.60869565
TIPACOQUE,178.7916667
TIQUISIO,819.8333333
TITIRIBI,16.875
TOCA,166.3333333
TOCAIMA,861.3846154
TOCANCIPA,25.77777778
TOGUI,43.04761905
TOLEDO,61.16666667
TOLU,204.4444444
TOLUVIEJO,766.46875
TONA,15.76470588
TOPAGA,25.23076923
TOPAIPI,85.7
TORIBIO,87.46666667
TORO,1120.416667
TOTA,7
TOTORO,192.5555556
TRINIDAD,256.125
TRUJILLO,852.9142857
TUBARA,391.9583333
TUCHIN,563.92
TULUA,1673.5625
TUMACO,74.94117647
TUNJA,217.3125
TUNUNGUA,17.83333333
TUQUERRES,493.1666667
TURBACO,535
TURBANA,569.7391304
TURBO,2667.875
TURMEQUE,133.8125
TUTA,40.6
TUTAZA,10.72727273
UBALA,355.8333333
UBAQUE,185.6111111
UBATE,43
ULLOA,24.80952381
UMBITA,161.5384615
UNE,872.75
UNGUIA,502.6896552
UNION PANAMERICANA,5.684210526
URAMITA,839.9166667
URRAO,137.3043478
URUMITA,303.25
USIACURI,158.65
UTICA,151.5416667
VALDIVIA,107.4782609
VALENCIA,4049.666667
VALLE DE SAN JOSE,109.125
VALLE DE SAN JUAN,5169.1
VALLE DEL GUAMUEZ,217.3157895
VALLEDUPAR,1688.041667
VALPARAISO,102.32
VEGACHI,8.791666667
VELEZ,366.0909091
VENADILLO,176.1212121
VENECIA,22.69230769
VENTAQUEMADA,28.42857143
VERGARA,37.66666667
VERSALLES,36.20833333
VETAS,5.8
VIANI,14.55
VICTORIA,154
VIGIA DEL FUERTE,35.05263158
VIJES,198.7391304
VILLA CARO,39.08333333
VILLA DE LEYVA,42.11111111
VILLA DEL ROSARIO,80.4
VILLA RICA,63.35714286
VILLAGARZON,305.2916667
VILLAGOMEZ,38.85
VILLAHERMOSA,110.9
VILLAMARIA,69.09090909
VILLANUEVA,562.9722222
VILLAPINZON,134.7142857
VILLARRICA,136.1818182
VILLAVICENCIO,3832.540541
VILLAVIEJA,408.0416667
VILLETA,270.9130435
VIOTA,1399.954545
VIRACACHA,166.2142857
VISTA HERMOSA,1865
VITERBO,166.3333333
YACOPI,394.9166667
YACUANQUER,896.3076923
YAGUARA,80.73913043
YALI,15.625
YARUMAL,25.91666667
YOLOMBO,104.0869565
YONDO,1155.583333
YOPAL,355.1875
